template,field,Field name,Description ,Format,Applies to ,
EMTWP,ae_competentAuthority,Competent Authority,Full name of the Competent Authority that granted authorisation,Free text,EMT,
EMTWP,ae_homeMemberState,Home Member State,Member State as defined in Article 3,2 character country code,EMT,
EMTWP,ae_lei_name,Name of the issuer of EMT,Full name of the issuer of e-money tokens,Free text,EMT,
EMTWP,ae_lei,LEI of the issuer of EMT,LEI of the issuer of e-money tokens,20-digit alphanumeric code,EMT,
EMTWP,ae_lei_cou_code,National code for the head office address,National code of the issuer of e-money tokens,2 character country code,EMT,
EMTWP,ae_commercial_name,Commercial name,Commercial name or trading name of the issuer of e-money tokens,Free text,EMT,
EMTWP,ae_address,Address of the issuer of EMT,Physical address of the issuer of e-money tokens,Free text,EMT,
EMTWP,ae_website,Website of the issuer of EMT,Website of the issuer of e-money tokens,Free text,EMT,
EMTWP,ac_authorisationNotificationDate,Date of the authorisation,Date of the authorisation of the issuer of e-money tokens,"Date ""dd/mm/yyyy""",EMT,
EMTWP,ac_authorisationEndDate,Date of the withdrawal,Date of the withdrawal of the issuer of e-money tokens (where applicable),"Date ""dd/mm/yyyy"" Blank",EMT,
EMTWP,ae_exemption48_4,Exemption under Article 48(4),Indication whether the issuer of e-money tokens is exempted from authorisation in accordance with Article 48(4),"""Yes"",""No""",EMT,
EMTWP,ae_exemption48_5,Exemption under Article 48(5),Indication whether the issuer of e-money tokens is exempted from authorisation in accordance with Article 48(5).,"""Yes"",""No""",EMT,
EMTWP,ae_authorisation_other_emt,Authorisation as a credit institution or electronic money institution,Indication whether the  issuer of e-money tokens is a credit institution or a electronic money institution.,"""Credit institution"",""Electronic money institution""",EMT,
EMTWP,ae_DTI_FFG,Functionally Fungible Group Digital Token Identifier (DTI FFG / EDTG),"Code, as defined in the ISO 24165 standard, used to uniquely identify the functionally fungible group to which the digital asset belongs (i.e., common to each of the several assets to which the white paper relates, where available. Note that in Edition 2 of the standard, the name FFG is replaced with Equivalent Digital Token Group (EDTG).",9-digit alphanumeric code (unique),White paper,
EMTWP,ae_DTI,Digital Token Identifier (DTI) ,"Code, as defined in the ISO 24165 standard, used to uniquely identify the crypto-asset or each of the several crypto-assets to which the crypto-asset white paper relates. This refers to the 'Auxilary Digital Token' or 'Protocol Digital Token' in the DTI Foundation Registry.","9-digit alphanumeric code. Where the white paper lists multiple DTI codes, they should be separated by the pipe symbol ""|""",White paper,
EMTWP,wp_url,URL of disclosed White Paper (URL),White paper URL(s) issued by the issuer of  EMT token(s).  Each URL specifies a decicated white paper location on the issuer website where it can be possible to retrieve the white paper document.,Free text,Address or EMT_NO_WP (Authorised EMT that has not issued any white paper) EMT_CRIN (for Credit institutions that do not need to report white papers),.
EMTWP,wp_authorisationNotificationDate,Starting date of the offer to the public or the admission to trading,"The starting date, or, if not available at the time of the notification by the competent authority, the intended starting date, of the offer to the public or the admission to trading;","Date ""dd/mm/yyyy""",WP,
EMTWP,wp_comments,Comments,Comments related to the updates,Free text,WP,
EMTWP,wp_lastupdate,Last update,Last update of the record,"Date ""dd/mm/yyyy""",WP,
ARTZZ,ae_competentAuthority,Competent Authority,Full name of the Competent Authority that granted authorisation,Free text,Issuer,
ARTZZ,ae_homeMemberState,Home Member State,Member State as defined in Article 3,2 character country code,Issuer,
ARTZZ,ae_lei_name,Name of the issuer of ART,Full name of the issuer of asset-referenced tokens,Free text,Issuer,
ARTZZ,ae_lei,LEI of the issuer of ART (where available),LEI of the issuer of asset-referenced tokens,20-digit alphanumeric code,Issuer,
ARTZZ,ae_lei_cou_code,National code for the head office address,National code of the issuer of e-money tokens,2 character country code,Issuer,
ARTZZ,ae_commercial_name,Commercial name,Commercial names or trading names of the issuer of asset-referenced tokens,Free text,Issuer,
ARTZZ,ae_address,Address of the issuer of ART,Physical address of the issuer of asset-referenced tokens,Free text,Issuer,
ARTZZ,ae_website,Website of the issuer of ART,Website of the issuer of asset-referenced tokens,Free text,Issuer,
ARTZZ,ac_authorisationNotificationDate,Date of the authorisation,Date of the authorisation of the issuer of e-money tokens,"Date ""dd/mm/yyyy""",Issuer,
ARTZZ,ac_authorisationEndDate,Date of the withdrawal,Date of the withdrawal of the issuer of e-money tokens (where applicable),"Date ""dd/mm/yyyy"" or blank",Issuer,
ARTZZ,ae_credit_institution,Authorisation as a credit institution,Indication whether the  issuer of asset-referenced tokens is exempted from authorisation in accordance with Article 17.,YES or NO,Issuer,
ARTZZ,ae_DTI_FFG,Functionally Fungible Group Digital Token Identifier (DTI FFG / EDTG),"Code, as defined in the ISO 24165 standard, used to uniquely identify the functionally fungible group to which the digital asset belongs (i.e., common to each of the several assets to which the white paper relates, where available. Note that in Edition 2 of the standard, the name FFG is replaced with Equivalent Digital Token Group (EDTG).",9-digit alphanumeric code (unique),White paper,
ARTZZ,ae_DTI,Digital Token Identifier (DTI) ,"Code, as defined in the ISO 24165 standard, used to uniquely identify the crypto-asset or each of the several crypto-assets to which the crypto-asset white paper relates. This refers to the 'Auxilary Digital Token' or 'Protocol Digital Token' in the DTI Foundation Registry.","9-digit alphanumeric code. Where the white paper lists multiple DTI codes, they should be separated by the pipe symbol ""|""",White paper,
ARTZZ,wp_url,Disclosed White Paper (URLs),Disclosed white paper URL(s) issued by the issuer of ART token(s). It  specifies a decicated white paper location on the issuer website where it can be possible to retrieve the white paper document.,Free text,ART,
ARTZZ,wp_authorisationNotificationDate,Starting date of the offer to the public or the admission to trading,"The starting date, or, if not available at the time of the notification by the competent authority, the intended starting date, of the offer to the public or the admission to trading;","Date ""dd/mm/yyyy""",ART,
ARTZZ,wp_url_cou,Member States where the issuer intends to offer to the public or seek admission to trading,The list of host Member States where the applicant issuer intends to offer an asset-referenced token to the public or intends to seek admission to trading of the asset-referenced tokens;,"ISO country codes (two characters) separated by pipe symbol ""|""",ART,
ARTZZ,wp_comments,Comments,Comments related to the updates,Free text,ART,
ARTZZ,wp_lastupdate,Last update,Last update of the record,"Date ""dd/mm/yyyy""",ART,
CASPS,ae_competentAuthority,Competent Authority,Full name of the Competent Authority that granted authorisation,Free text,CASP,
CASPS,ae_homeMemberState,Home Member State,Member State as defined in Article 3,2 character country code,CASP,
CASPS,ae_lei_name,Name of the CASP,Full name of the issuer of e-money tokens,Free text,CASP,
CASPS,ae_lei,LEI of the CASP ,LEI of the crypto-asset service provider,20-digit alphanumeric code,CASP,
CASPS,ae_lei_cou_code,National code for the head office address,National code of the crypto-asset service provider,2 character country code,CASP,
CASPS,ae_commercial_name,Commercial name,Commercial name or trading name of the CASP,Free text,CASP,
CASPS,ae_address,Address of the CASP,Physical address of the crypto-asset service provider,Free text,CASP,
CASPS,ae_website,Website of the CASP,Website of the crypto-asset service provider,Free text,CASP,
CASPS,ae_website_platform,Website of the trading platform,Website of the trading platform (where applicable),Free text,CASP,
CASPS,ac_authorisationNotificationDate,Date of the authorisation of the CASP,Date of the authorisation of the crypto-asset service provider in accordance with Article 63,"Date ""dd/mm/yyyy""",CASP,
CASPS,ac_authorisationEndDate,Date of the withdrawal of the CASP,Date of the withdrawal of the crypto-asset service provider (where applicable),"Date ""dd/mm/yyyy"" or blank",CASP,
CASPS,ac_serviceCode,List of crypto-asset services provided by the CASP,"The list of crypto-asset service the record referst to (one in each row, repeating the information relative to the CASP)s provided by the crypto-asset service provider among:",The following values are permissible:,Service,
CASPS,ac_serviceCode_cou,Member States where CASP intends to provide crypto-asset service the record refers to,Member States where CASP intends to provide crypto-asset service the record refers to,"ISO country codes (two characters) separated by pipe symbol ""|""",Service,
CASPS,ac_comments,Comments,Comments related to the updates,Free text,Service,
CASPS,ac_lastupdate,Last update,Last update of the record,"Date ""dd/mm/yyyy""",Service,
OTHER,ae_competentAuthority,Competent Authority,Full name of the Competent Authority that granted authorisation,Free text,Issuer / offeror,
OTHER,ae_homeMemberState,Home Member State,Member State as defined in Article 3,2 character country code,Issuer / offeror,
OTHER,ae_lei_name,Name of the issuer/offeror,Name of the issuer/offeror of token other than ART/EMT,Free text,Issuer / offeror,
OTHER,ae_lei,LEI of the issuer / offeror,LEI of the issuer/offeror of token other than ART/EMT,20-digit alphanumeric code,Issuer / offeror,
OTHER,ae_lei_cou_code,National code for the head office address,National code of the issuer/offeror of token other than ART/EMT,2 character country code,Issuer / offeror,
OTHER,ae_lei_name_casp,Name of the CASP,Name of the CASP (where applicable),Free text,CASP,
OTHER,ae_lei_casp,LEI of the CASP (where applicable),LEI of the CASP (where applicable),20-digit alphanumeric code,CASP,
OTHER,ae_offerCode_cou,Member State where the token is offered to the public or admitted to trading ,"List of Member States in which the token is intended to be offered to the public or admitted to trading 

The full list of accepted values, already formatted with vertical bars, can be found in the valid_domain tab, cell O2. It is ready for copy-paste and subsequent removal of non-relevant services.","ISO country codes (two characters) separated by pipe symbol ""|""",Issuer / offeror,
OTHER,ae_DTI_FFG,Functionally Fungible Group Digital Token Identifier (DTI FFG / EDTG),"Code, as defined in the ISO 24165 standard, used to uniquely identify the functionally fungible group to which the digital asset belongs (i.e., common to each of the several assets to which the white paper relates, where available. Note that in Edition 2 of the standard, the name FFG is replaced with Equivalent Digital Token Group (EDTG).","	
9-digit alphanumeric code (unique)",White paper,
OTHER,ae_DTI,Digital Token Identifier (DTI) ,"Code, as defined in the ISO 24165 standard, used to uniquely identify the crypto-asset or each of the several crypto-assets to which the crypto-asset white paper relates. This refers to the 'Auxilary Digital Token' or 'Protocol Digital Token' in the DTI Foundation Registry.","9-digit alphanumeric code. Where the white paper lists multiple DTI codes, they should be separated by the pipe symbol ""|""",White paper,
OTHER,wp_url,URL of disclosed White Paper (URL),"Issuer's URL of the white paper, disclosed by the issuer/offeror of token other than ART/EMT",Free text,White paper,
OTHER,wp_comments,Comments,Comments related to the updates,Free text,White paper,
OTHER,wp_lastupdate,Last update,Last update of the record,"Date ""dd/mm/yyyy""",White paper,
NCASP,ae_competentAuthority,Competent Authority,Full name of the Competent Authority that declared the non compliant entity,Free text,Non compliant CASP,
NCASP,ae_homeMemberState,Home Member State,Member State as defined in Article 3,2 character country code,Non compliant CASP,
NCASP,ae_lei_name,Name of the non-compliant entity,Full name of the non-compliant entity,Free text,Non compliant CASP,
NCASP,ae_lei,LEI of the non-compliant entity,LEI of the non-compliant entity,20-digit alphanumeric code,Non compliant CASP,
NCASP,ae_lei_cou_code,National code of the non-compliant entity,National code of the non-compliant entity,2 character country code,Non compliant CASP,
NCASP,ae_commercial_name,Commercial name of the non-compliant entity,Commercial name or trading name of  the non-compliant entity,Free text,Non compliant CASP,
NCASP,ae_website,Website of the non-compliant entity,Website of the non-compliant entity,Free text,Non compliant CASP,
NCASP,ae_infrigment,Case of infringement identified by ESMA in accordance with Article 17 of Regulation (EU) No 1095/201,Case of infringement identified by ESMA in accordance with Article 17 of Regulation (EU) No 1095/201,"""Yes"",""No""",Non compliant CASP,
NCASP,ae_reason,Non compliancy reason,Non compliancy reason,Free text,Non compliant CASP,
NCASP,ae_decision_date,Decision date by the authority of crypto-asset services in violation of Article 59 or 61,"Decision date, decided by the authority, of crypto-asset services in violation of Article 59 or 61","Date ""dd/mm/yyyy""",Non compliant CASP,
NCASP,ae_comments,Comments,Comments related to the updates,Free text,Non compliant CASP,
NCASP,ae_lastupdate,Last update,Last update of the record,"Date ""dd/mm/yyyy""",Non compliant CASP,
